,HO,DEM,TEN,GIOI_TINH,NGAY,THANG,NAM,MA_TINH_KS,MA_HUYEN_KS,MA_XA_KS,SO_CMTND,LABEL,SCORE
75775,Dương,Thị,Thắm,1,10,1,1963,26TTT,251HH,09025,026063000011,00000000000,1.0
75647,Dương,Thị,Thắm,0,10,1,1963,26TTT,251HH,09025,026063000011,00010000000,0.9990113690118945
75774,Dương,Thị,Thắm,1,10,1,1963,26TTT,251HH,09025,026093000011,00000000001,0.9988767459539721
75646,Dương,Thị,Thắm,0,10,1,1963,26TTT,251HH,09025,026073000011,00010000001,0.9978870021313115
75711,Dương,Thị,Thắm,1,11,1,1963,26TTT,251HH,09025,026063000011,00001000000,0.9920633665850978
75583,Dương,Thị,Thắm,0,16,1,1963,26TTT,251HH,09025,026063000011,00011000000,0.9910668185017486
75710,Dương,Thị,Thắm,1,31,1,1963,26TTT,251HH,09025,026033000011,00001000001,0.9909311161366134
75582,Dương,Thị,Thắm,0,4,1,1963,26TTT,251HH,09025,022063000011,00011000001,0.988934733821092
75615,Dương,Thị,Thắm,0,10,10,1963,26TTT,251HH,09025,026063000011,00010100000,0.987070565053612
75743,Dương,Thị,Thắm,1,10,6,1963,26TTT,251HH,09025,026063000011,00000100000,0.9840627249521832
75742,Dương,Thị,Thắm,1,10,6,1963,26TTT,251HH,09025,826063000011,00000100001,0.9829212584169256
75614,Dương,Thị,Thắm,0,10,3,1963,26TTT,251HH,09025,026063000019,00010100001,0.9819154320321747
75263,Dương,Khị,Thắm,1,10,1,1963,26TTT,251HH,09025,026063000011,01000000000,0.9812974391241529
75135,Dương,Rhị,Thắm,0,10,1,1963,26TTT,251HH,09025,026063000011,01010000000,0.980289946621223
75262,Dương,Tbị,Thắm,1,10,1,1963,26TTT,251HH,09025,026063200011,01000000001,0.9801527521969302
75134,Dương,Qhị,Thắm,0,10,1,1963,26TTT,251HH,09025,026063000911,01010000001,0.9791440818665232
75550,Dương,Thị,Thắm,0,6,10,1963,26TTT,251HH,09025,026063000311,00011100001,0.9768707656276909
75758,Dương,Thị,Thắm,1,10,1,1993,26TTT,251HH,09025,026063000012,00000010001,0.9758181986259795
75679,Dương,Thị,Thắm,1,7,7,1963,26TTT,251HH,09025,026063000011,00001100000,0.9749835308226976
75551,Dương,Thị,Thắm,0,26,4,1963,26TTT,251HH,09025,026063000011,00011100000,0.9739695071153479
75678,Dương,Thị,Thắm,1,23,8,1963,26TTT,251HH,09025,026066000011,00001100001,0.973831422261107
75199,Dương,Tkị,Thắm,1,19,1,1963,26TTT,251HH,09025,026063000011,01001000000,0.9732082959735694
